item_id,source_dataset,short_text,reference_text,style_condition,is_attention_check,expected_answer
noinst_447,no_instructions,"I was really grateful my sister allowed me to move in after my divorce. I started eating a bit healthier, and these seeds are part of that. I cut out bread and stuck to meat and vegetables. My sister wants me to help her with a healthy lifestyle as well. She's a sweet person and deserves all the happiness.",i was so grateful for my sister allowing me to move in with her after my divorce . i started to eat a bit more healthier | and these seeds are part of my journey . i cut out bread | and just ate meant amd vegetables . my sister wants me to help her with a healthy lifestyle as well . she is a sweet person | and deserves all the happiness .,masculine,False,
style_104,style_instructions,"First day of school: happy, smiling, and tall as the fence. Excited for the playground. Photo in front of the new school.",happy and smiling on the first day of school . big boy is as tall as the fence now . first day of school picture memory . excited about the play ground . picture in front of his new school .,masculine,False,
noinst_233,no_instructions,"A parade took place in the location, where attendees gathered beads from the passing floats. Some participants elegantly walked on stilts, while others dressed in vibrant costumes and rode along on the floats through the streets. Marching bands provided lively music for the event.",a parade was held in location . people collected beads from passing parade floats . some walked on stilts . others dressed up and rode floats through the streets . bands played marching music .,feminine,False,
noinst_447,no_instructions,"I felt incredibly grateful when my sister let me move in with her following my divorce. I began eating a bit healthier, and these seeds are part of my journey. I eliminated bread and focused on just eating meat and vegetables. My sister wants me to assist her with adopting a healthy lifestyle too. She's such a sweet person and truly deserves all the happiness.",i was so grateful for my sister allowing me to move in with her after my divorce . i started to eat a bit more healthier | and these seeds are part of my journey . i cut out bread | and just ate meant amd vegetables . my sister wants me to help her with a healthy lifestyle as well . she is a sweet person | and deserves all the happiness .,feminine,False,
noinst_274,no_instructions,"Today at the convention, I had such a lovely time! There were so many delightful refreshments, and I actually got to meet someone I never thought I'd have the chance to see. I took so many fun pictures with all my friends—it was absolutely wonderful!",i went to a convention today . there were many refreshments there . i met somebody that i thought i never would get the chance to meet . i took crazy pictures with all of my friends . i had a really awesome time at the convention .,feminine,False,
style_156,style_instructions,"Yes, those smiles are truly heartfelt—we finally did it and graduated! Now we're stepping into the real world together, and our parents are so incredibly proud; it doesn't matter what we're doing, they just want to keep capturing these precious moments with photos. I hope this joyful spirit stays with us through the summer and as we head off to college, beginning our beautiful journey into adulthood. Oh, and yes, here's another photo of me eating—why do they always snap those? Dad is getting ready to cut the cake while grandpa fetches the ice cream from the freezer.",yes | those smiles are real | we finally did it | we graduated . now on to the real world . the parents are so proud | does not matter what we are doing | they want to keep taking photos . hopefully | this angel comes with us through the summer and off to college while we start our journey into adulthood . yes | another photo of me eating | why do they always get photos of me eating . dad getting ready to cut the cake | while grandpa gets the ice cream out of the freezer .,feminine,False,
noinst_378,no_instructions,"The governor visited the ping pong tournament, chatting with the players and posing for photos together. They shared some tips with him before the games got underway.",the governor came out to the ping pong tournament he talked to the players and even posed with them they taught him some tips then the games began,feminine,False,
style_484,style_instructions,"It was a great day for racing, so they headed out. The dog enjoyed the sun, and every racer pushed hard. The race was excellent; all enjoyed it.",it was a great day to go racing and off they went ! even the dog was loving this sunny day each racer pushed themselves harder and harder it was such a great race that day all enjoyed it,masculine,False,
style_484,style_instructions,"What a wonderful day for racing, and off they joyfully went! Even the dog seemed to absolutely adore the sunny weather, and each racer challenged themselves with such inspiring effort—it truly was such a fantastic race, and everyone had a lovely time.",it was a great day to go racing and off they went ! even the dog was loving this sunny day each racer pushed themselves harder and harder it was such a great race that day all enjoyed it,feminine,False,
style_53,style_instructions,"The opening band took the stage to a roaring, vibrant crowd—you could just feel their excitement! Their act was wonderfully entertaining and really got everyone energized for the headliner. And wow, the vehicle the headliner arrived in was absolutely massive! We were lucky enough to capture an aerial view of the stage and audience, and though the crowd wasn’t huge, their energy was incredibly powerful. The whole show was such a joy to watch, with all the performers showing amazing talent and leaving the audience absolutely delighted!",the opening band went on stage to a roaring crowd . you can tell that the crowd is excited ! the opening act was very entertaining . they really pumped up the audience for the headliner . this was the vehicle the headliner band came in ! this thing was huge ! we managed to get an aerial shot of the stage and crowd . the crowd was small but powerful ! the show was very entertaining to watch ! all the performers were talented and the crowd was happy !,feminine,False,
